TT,AHU3_CCV-AHU3-Percentage,AHU3_DSP-AHU3-inch,AHU3_DSPSP-AHU3-inch,AHU3_MAT-AHU3-degree Fahrenheit,AHU3_MaxDMP-AHU3-Percentage,AHU3_RAT-AHU3-degree Fahrenheit,AHU3_RHV-AHU3-Percentage,AHU3_SAT-AHU3-degree Fahrenheit,AHU3_SATSP-AHU3-degree Fahrenheit,AHU3_SFC-AHU3-No Unit,AHU3_SFS-AHU3-No Unit,AHU3_SupCFM-AHU3-cubic foot per minute,
Fri  Feb 21 21:15:00  CST,0.00  ( OK ),,,66.66  ( OK ),0.00  ( OK ),73.16  ( OK ),9.20  ( OK ),71.52  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 21:30:00  CST,0.00  ( OK ),,,66.86  ( OK ),0.00  ( OK ),73.16  ( OK ),0.00  ( OK ),73.48  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 21:45:00  CST,0.00  ( OK ),,,66.90  ( OK ),0.00  ( OK ),73.12  ( OK ),0.00  ( OK ),76.03  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 22:00:00  CST,0.00  ( OK ),,,66.73  ( OK ),0.00  ( OK ),73.10  ( OK ),0.00  ( OK ),78.15  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 22:15:00  CST,0.00  ( OK ),,,67.18  ( OK ),0.00  ( OK ),73.17  ( OK ),0.00  ( OK ),77.72  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 22:30:00  CST,0.00  ( OK ),,,66.46  ( OK ),0.00  ( OK ),73.18  ( OK ),12.89  ( OK ),71.07  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 22:45:00  CST,0.00  ( OK ),,,83.78  ( OK ),0.00  ( OK ),70.42  ( OK ),100.00  ( OK ),81.76  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 23:00:00  CST,0.00  ( OK ),,,85.36  ( OK ),0.00  ( OK ),65.67  ( OK ),100.00  ( OK ),93.65  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 23:15:00  CST,0.00  ( OK ),,,87.10  ( OK ),0.00  ( OK ),64.11  ( OK ),100.00  ( OK ),102.85  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 23:30:00  CST,0.00  ( OK ),,,85.89  ( OK ),0.00  ( OK ),63.20  ( OK ),100.00  ( OK ),107.28  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 23:45:00  CST,0.00  ( OK ),,,86.85  ( OK ),0.00  ( OK ),62.45  ( OK ),100.00  ( OK ),112.34  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 00:00:00  CST,0.00  ( OK ),,,87.82  ( OK ),0.00  ( OK ),62.24  ( OK ),100.00  ( OK ),117.56  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 00:15:00  CST,0.00  ( OK ),,,87.75  ( OK ),0.00  ( OK ),61.56  ( OK ),100.00  ( OK ),122.42  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 00:30:00  CST,0.00  ( OK ),,,88.77  ( OK ),0.00  ( OK ),61.23  ( OK ),100.00  ( OK ),126.52  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 00:45:00  CST,0.00  ( OK ),,,89.06  ( OK ),0.00  ( OK ),61.15  ( OK ),100.00  ( OK ),129.84  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 01:00:00  CST,0.00  ( OK ),,,88.37  ( OK ),0.00  ( OK ),60.75  ( OK ),100.00  ( OK ),129.67  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 01:15:00  CST,0.00  ( OK ),,,89.92  ( OK ),0.00  ( OK ),60.78  ( OK ),100.00  ( OK ),130.69  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 01:30:00  CST,0.00  ( OK ),,,88.90  ( OK ),0.00  ( OK ),60.23  ( OK ),100.00  ( OK ),131.84  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 01:45:00  CST,0.00  ( OK ),,,90.00  ( OK ),0.00  ( OK ),59.54  ( OK ),100.00  ( OK ),132.39  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 02:00:00  CST,0.00  ( OK ),,,89.84  ( OK ),0.00  ( OK ),59.78  ( OK ),100.00  ( OK ),133.22  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 02:15:00  CST,0.00  ( OK ),,,89.29  ( OK ),0.00  ( OK ),59.22  ( OK ),100.00  ( OK ),133.85  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 02:30:00  CST,0.00  ( OK ),,,90.16  ( OK ),0.00  ( OK ),58.98  ( OK ),100.00  ( OK ),134.36  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 02:45:00  CST,0.00  ( OK ),,,88.91  ( OK ),0.00  ( OK ),59.12  ( OK ),100.00  ( OK ),135.17  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 03:00:00  CST,0.00  ( OK ),,,89.79  ( OK ),0.00  ( OK ),58.78  ( OK ),100.00  ( OK ),135.38  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 03:15:00  CST,0.00  ( OK ),,,89.90  ( OK ),0.00  ( OK ),58.56  ( OK ),100.00  ( OK ),135.82  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 03:30:00  CST,0.00  ( OK ),,,90.22  ( OK ),0.00  ( OK ),59.37  ( OK ),100.00  ( OK ),136.17  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 03:45:00  CST,0.00  ( OK ),,,91.45  ( OK ),0.00  ( OK ),59.19  ( OK ),100.00  ( OK ),136.20  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 04:00:00  CST,0.00  ( OK ),,,90.55  ( OK ),0.00  ( OK ),59.27  ( OK ),100.00  ( OK ),136.71  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 04:15:00  CST,0.00  ( OK ),,,89.95  ( OK ),0.00  ( OK ),58.68  ( OK ),100.00  ( OK ),136.99  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Sat  Feb 22 04:30:00  CST,0.00  ( OK ),,,90.17  ( OK ),0.00  ( OK ),58.02  ( OK ),100.00  ( OK ),137.27  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
