TT,AHU6_CCV-AHU6-Percentage,AHU6_DSP-AHU6-inch,AHU6_DSPSP-AHU6-inch,AHU6_MAT-AHU6-degree Fahrenheit,AHU6_MaxDMP-AHU6-Percentage,AHU6_RAT-AHU6-degree Fahrenheit,AHU6_SAT-AHU6-degree Fahrenheit,AHU6_SATSP-AHU6-degree Fahrenheit,AHU6_SFC-AHU6-No Unit,AHU6_SFS-AHU6-No Unit,AHU6_SupCFM-AHU6-cubic foot per minute,AHU6_SupVFD-AHU6-Percentage,
Tue  May 13 07:30:00  CDT,99.99  ( OK ),0.88  ( OK ),1.50  ( OK ),65.23  ( OK ),100.00  ( OK ),72.51  ( OK ),56.34  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),10244.56  ( OK ),99.99  ( OK ),
Tue  May 13 07:45:00  CDT,97.38  ( OK ),1.19  ( OK ),1.50  ( OK ),65.08  ( OK ),100.00  ( OK ),72.43  ( OK ),55.71  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),9311.41  ( OK ),99.99  ( OK ),
Tue  May 13 08:00:00  CDT,71.04  ( OK ),1.78  ( OK ),1.50  ( OK ),64.78  ( OK ),100.00  ( OK ),72.35  ( OK ),53.92  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),7243.63  ( OK ),95.69  ( OK ),
Tue  May 13 08:15:00  CDT,40.84  ( OK ),1.85  ( OK ),1.50  ( OK ),64.90  ( OK ),100.00  ( OK ),72.20  ( OK ),54.38  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),5411.41  ( OK ),87.81  ( OK ),
Tue  May 13 08:30:00  CDT,33.76  ( OK ),1.81  ( OK ),1.50  ( OK ),64.92  ( OK ),100.00  ( OK ),72.36  ( OK ),55.59  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4896.18  ( OK ),83.31  ( OK ),
Tue  May 13 08:45:00  CDT,32.65  ( OK ),1.66  ( OK ),1.50  ( OK ),64.92  ( OK ),100.00  ( OK ),72.67  ( OK ),55.89  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4392.63  ( OK ),81.24  ( OK ),
Tue  May 13 09:00:00  CDT,31.58  ( OK ),1.60  ( OK ),1.50  ( OK ),64.98  ( OK ),100.00  ( OK ),72.66  ( OK ),55.89  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4390.38  ( OK ),79.04  ( OK ),
Tue  May 13 09:15:00  CDT,29.53  ( OK ),1.61  ( OK ),1.50  ( OK ),63.38  ( OK ),100.00  ( OK ),72.67  ( OK ),55.79  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),3950.27  ( OK ),77.38  ( OK ),
Tue  May 13 09:30:00  CDT,27.90  ( OK ),1.59  ( OK ),1.50  ( OK ),61.55  ( OK ),100.00  ( OK ),72.66  ( OK ),55.99  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4048.98  ( OK ),76.32  ( OK ),
Tue  May 13 09:45:00  CDT,27.77  ( OK ),1.55  ( OK ),1.50  ( OK ),60.97  ( OK ),100.00  ( OK ),72.70  ( OK ),55.95  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4170.92  ( OK ),75.46  ( OK ),
Tue  May 13 10:00:00  CDT,27.69  ( OK ),1.49  ( OK ),1.50  ( OK ),60.50  ( OK ),100.00  ( OK ),72.81  ( OK ),55.95  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4538.20  ( OK ),76.22  ( OK ),
Tue  May 13 10:15:00  CDT,25.81  ( OK ),1.49  ( OK ),1.50  ( OK ),59.83  ( OK ),100.00  ( OK ),72.90  ( OK ),55.85  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4276.58  ( OK ),76.50  ( OK ),
